map,N,nocnt,andy
Berlin_1_256,20,0,0
Berlin_1_256,30,0,0
Boston_0_256,20,0,0
Boston_0_256,30,0,0
Paris_1_256,20,0,0
Paris_1_256,30,0,0
andy_scenario,20,17,17
andy_scenario,30,28,28
brc202d,20,0,0
brc202d,30,0,0
connector,20,FAIL,FAIL
connector,30,FAIL,FAIL
corners,20,FAIL,FAIL
corners,30,FAIL,FAIL
crossing,20,22,22
crossing,30,24,24
deadlock_test,20,2306614,2197121
deadlock_test,30,FAIL,FAIL
demo_rooms,20,44,44
demo_rooms,30,51,51
den312d,20,105,105
den312d,30,105,105
den520d,20,0,0
den520d,30,0,0
empty-16-16,20,23,23
empty-16-16,30,23,23
empty-32-32,20,42,42
empty-32-32,30,47,47
empty-48-48,20,65,65
empty-48-48,30,65,65
empty-8-8,20,7,7
empty-8-8,30,11,11
four_rooms,20,1839242,1728603
four_rooms,30,1459542,1266029
full,20,68,68
full,30,125,125
ht_chantry,20,185,185
ht_chantry,30,185,185
ht_mansion_n,20,199,199
ht_mansion_n,30,199,199
lak303d,20,0,0
lak303d,30,0,0
loop-chain,20,FAIL,FAIL
loop-chain,30,FAIL,FAIL
lt_gallowstemplar_n,20,253,253
lt_gallowstemplar_n,30,253,253
maze-128-128-1,20,932,932
maze-128-128-1,30,888,888
maze-128-128-10,20,374,374
maze-128-128-10,30,377,377
maze-128-128-2,20,1554,1554
maze-128-128-2,30,1554,1554
maze-32-32-2,20,122,122
maze-32-32-2,30,122,122
maze-32-32-4,20,93,93
maze-32-32-4,30,92,92
orz900d,20,0,0
orz900d,30,0,0
ost003d,20,339,339
ost003d,30,339,339
proper_test,20,21,21
proper_test,30,34,34
queue_test,20,29,29
queue_test,30,36,36
random-32-32-10,20,44,44
random-32-32-10,30,44,44
random-32-32-20,20,46,46
random-32-32-20,30,48,48
random-64-64-10,20,84,84
random-64-64-10,30,86,86
random-64-64-20,20,102,102
random-64-64-20,30,102,102
random-8-8-20,20,19,19
random-8-8-20,30,35,35
room-32-32-4,20,47,47
room-32-32-4,30,48,48
room-64-64-16,20,166,166
room-64-64-16,30,166,166
room-64-64-8,20,135,135
room-64-64-8,30,137,137
room_corridor,20,28,28
room_corridor,30,31,31
string,20,FAIL,FAIL
string,30,FAIL,FAIL
three_rooms,20,35,35
three_rooms,30,212,212
tiny_deadlock,20,FAIL,FAIL
tiny_deadlock,30,FAIL,FAIL
tree,20,FAIL,FAIL
tree,30,FAIL,FAIL
tunnel,20,FAIL,FAIL
tunnel,30,FAIL,FAIL
two_entrance,20,20,20
two_entrance,30,25,25
w_woundedcoast,20,0,0
w_woundedcoast,30,0,0
warehouse-10-20-10-2-1,20,160,160
warehouse-10-20-10-2-1,30,163,163
warehouse-10-20-10-2-2,20,184,184
warehouse-10-20-10-2-2,30,184,184
warehouse-20-40-10-2-1,20,0,0
warehouse-20-40-10-2-1,30,0,0
warehouse-20-40-10-2-2,20,364,364
warehouse-20-40-10-2-2,30,364,364
